Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000030066	5623	6082	5687	5709
ENSG00000030110	1345	1398	1918	1791
ENSG00000030304	0	0	0	1
ENSG00000030419	17	18	16	8
ENSG00000030582	9386	9659	13778	14188
ENSG00000031003	2108	2309	2107	1992
ENSG00000031081	119	130	232	270
ENSG00000031691	886	945	791	815
ENSG00000031698	3034	3258	3458	3418
ENSG00000031823	1963	2072	1888	1998
ENSG00000032219	1350	1548	1270	1236
ENSG00000032389	929	979	985	1002
ENSG00000032444	1439	1445	1769	1766
ENSG00000032742	334	395	233	236
ENSG00000033011	657	661	634	614
ENSG00000033030	1371	1462	1272	1323
ENSG00000033050	3504	3684	3777	3906
ENSG00000033100	1171	1193	1130	1180
ENSG00000033122	10	6	6	9
ENSG00000033170	1246	1462	1118	1055
ENSG00000033178	2585	2786	2774	2713
ENSG00000033327	1743	1871	1584	1584
ENSG00000033627	1125	1182	1417	1424
ENSG00000033800	2688	2911	2831	2696
ENSG00000033867	1502	1635	1438	1317
ENSG00000034053	715	775	594	695
ENSG00000034152	681	679	900	846
ENSG00000034239	0	0	1	0
ENSG00000034510	5346	5494	6791	6415
ENSG00000034533	276	332	249	262
ENSG00000034677	2173	2442	1888	1892
ENSG00000034693	214	245	350	342
ENSG00000034713	996	1165	1003	934
ENSG00000034971	0	0	0	0
ENSG00000035115	409	467	440	401
ENSG00000035141	2124	2256	1978	1941
ENSG00000035403	3793	4143	3531	3483
ENSG00000035499	1342	1481	1064	1035
ENSG00000035664	24	33	45	37
ENSG00000035681	4441	4688	4680	4471
ENSG00000035687	2586	2852	2430	2396
ENSG00000035720	11	11	67	72
ENSG00000035862	1211	1190	878	880
ENSG00000035928	3312	3636	2916	2933
ENSG00000036054	1269	1464	1387	1279
ENSG00000036257	3585	4118	3263	3123
ENSG00000036448	5	8	10	4
ENSG00000036473	0	0	1	2
ENSG00000036530	16	24	8	6
ENSG00000036549	2121	2257	1935	1908
ENSG00000036565	5	8	9	9
ENSG00000036672	197	228	109	128
ENSG00000036828	17	19	12	18
ENSG00000037042	186	164	212	215
ENSG00000037241	354	388	322	282
ENSG00000037280	8	5	7	4
ENSG00000037474	4781	5194	5745	5615
ENSG00000037637	1015	1090	1075	1085
ENSG00000037749	564	645	566	534
ENSG00000037757	1127	1175	996	1054
ENSG00000037897	320	391	378	433
ENSG00000037965	2	0	0	0
ENSG00000038002	364	359	496	479
ENSG00000038210	656	751	774	617
ENSG00000038219	3913	4274	3986	3857
ENSG00000038274	1969	2189	2280	2056
ENSG00000038295	0	0	0	0
ENSG00000038358	2664	2744	2483	2496
ENSG00000038382	489	546	495	512
ENSG00000038427	1098	1192	1740	1606
ENSG00000038532	1415	1456	1200	1159
ENSG00000038945	14	12	16	14
ENSG00000039068	7	7	11	2
